2026-01-18 21:11:17,029 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:17,029 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:18,320 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:18,320 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:19,288 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:19,288 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:26,202 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:26,202 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:34,816 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:34,817 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:40,100 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:40,100 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:43,628 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:43,628 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:50,304 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:50,304 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:52,426 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:52,427 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:59,564 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:59,564 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:00,588 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:00,588 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:06,108 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:06,108 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:08,468 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:08,468 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:09,971 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:09,971 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:10,271 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:10,271 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:10,673 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:10,673 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:11,384 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:11,384 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:13,985 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:13,986 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:14,469 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:14,470 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:19,101 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:19,101 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:22,467 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:22,467 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:23,483 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:23,484 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:23,484 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:23,484 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:26,778 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:26,779 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:31,392 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:31,392 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:33,394 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:33,394 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:36,713 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:36,713 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:39,738 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:39,738 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:41,695 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:41,696 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:43,194 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:43,194 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:43,788 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:43,788 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:43,803 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:43,803 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:45,151 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:45,151 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:49,755 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:49,755 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:50,067 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:50,067 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:50,544 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:50,544 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:52,763 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:52,763 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:53,629 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:53,629 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:55,134 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:55,134 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:57,988 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:57,989 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:12:58,658 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:12:58,658 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:13:04,614 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:13:04,614 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:13:04,615 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:13:04,615 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:37,646 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:37,646 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:42,041 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:42,041 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:45,407 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:45,407 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:47,821 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:47,821 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:48,955 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:48,956 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:49,429 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Come on.'
2026-01-18 21:14:49,429 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-18 21:14:51,043 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:51,043 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:54,858 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:54,858 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:56,946 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:56,946 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:14:59,070 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:14:59,070 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:15:01,037 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:15:01,037 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:15:04,636 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:15:04,636 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:15:06,613 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:15:06,613 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:15:06,672 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:15:06,672 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:15:08,481 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:15:08,481 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
